56 fichiers charges, 1540 paires a comparer


--- Paires MEME SUJET (ordre croissant d'accord) ---

Fichier A              | Fichier B              |   ep A |   ep B |   Accord |  N valid
hyp_jbe_s25            | hyp_per_s12            |   1072 |    948 |    34.0% |      741
hyp_per_s14            | hyp_per_s21            |    811 |    905 |    34.0% |      706
hyp_per_s21            | hyp_per_s3             |    905 |    944 |    34.0% |      810
hyp_per_s13            | hyp_per_s28            |    922 |    892 |    33.9% |      731
hyp_per_s33            | hyp_per_s38            |    935 |   1061 |    33.9% |      731
hyp_jbe_s32            | hyp_per_s30            |    984 |    938 |    33.9% |      693
hyp_jbe_s11            | hyp_jbe_s35            |   1055 |    994 |    33.9% |      655
hyp_jbe_s10            | hyp_per_s18            |    852 |    859 |    33.9% |      732
hyp_per_s16            | hyp_per_s38            |    881 |   1061 |    33.9% |      679
hyp_per_s35            | hyp_per_s38            |    994 |   1061 |    33.9% |      747
hyp_per_s37            | hyp_per_s38            |    774 |   1061 |    33.8% |      582
